Algo_1,Algo_2,Algo_3,Algo_4,M,N,notes
0.214001417,3.488254786,0.457342148,0.404620409,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.673820972,0.462174892,0.666832209,0.589534044,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.725535154,0.615589142,0.702178955,0.576600313,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.497509241,1.211728811,0.554028273,0.576422453,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.568018675,0.503069639,0.595437765,0.536149263,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.559271574,0.27405858,0.541293383,0.555119038,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.257893801,0.716140985,0.418588638,0.42373395,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.500094652,1.341830492,0.711131096,0.545345545,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.52399683,0.392580032,0.545111418,0.52626586,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
0.742544889,1.53017211,0.759605169,0.599254608,1000,18,"num subsets �?90, algo_4 为使用更快算法的Lomonosov方法"
